Sample in Buffer,Sample in Window,TRIGGER,u0/spi_inst0/SCK,u0/spi_inst0/CSn,u0/spi_inst0/MOSI,u0/spi_inst0/MISO,u0/spi_inst0/spi_seq[1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,1,1,"PHASE2"
1,1,1,1,0,1,1,"PHASE1"
2,2,0,1,0,1,1,"PHASE1"
3,3,0,0,0,0,1,"PHASE2"
4,4,0,0,0,0,1,"PHASE2"
5,5,0,1,0,0,1,"PHASE1"
6,6,0,1,0,0,1,"PHASE1"
7,7,0,0,0,0,1,"PHASE2"
8,8,0,0,0,0,1,"PHASE2"
9,9,0,1,0,0,1,"PHASE1"
10,10,0,1,0,0,1,"PHASE1"
11,11,0,0,0,1,1,"PHASE2"
12,12,0,0,0,1,1,"PHASE2"
13,13,0,1,0,1,1,"PHASE1"
14,14,0,1,0,1,1,"PHASE1"
15,15,0,0,0,1,1,"PHASE2"
16,16,0,0,0,1,1,"PHASE2"
17,17,0,1,0,1,1,"PHASE1"
18,18,0,1,0,1,1,"PHASE1"
19,19,0,0,0,1,1,"PHASE2"
20,20,0,0,0,1,1,"PHASE2"
21,21,0,1,0,1,1,"PHASE1"
22,22,0,1,0,1,1,"PHASE1"
23,23,0,0,0,1,1,"PHASE2"
24,24,0,0,0,1,1,"PHASE2"
25,25,0,1,0,1,1,"PHASE1"
26,26,0,1,0,1,1,"PHASE1"
27,27,0,0,0,1,1,"PHASE2"
28,28,0,0,0,1,1,"PHASE2"
29,29,0,1,0,1,1,"PHASE1"
30,30,0,1,0,1,1,"PHASE1"
31,31,0,0,0,1,1,"IDLE"
32,32,0,0,0,1,0,"IDLE"
33,33,0,0,0,1,0,"IDLE"
34,34,0,0,0,1,0,"IDLE"
35,35,0,0,0,1,0,"IDLE"
36,36,0,0,0,1,0,"IDLE"
37,37,0,0,0,1,0,"IDLE"
38,38,0,0,0,1,0,"IDLE"
39,39,0,0,0,1,0,"IDLE"
40,40,0,0,0,1,0,"IDLE"
41,41,0,0,0,1,0,"IDLE"
42,42,0,0,0,1,0,"IDLE"
43,43,0,0,0,1,0,"IDLE"
44,44,0,0,0,1,0,"IDLE"
45,45,0,0,0,1,0,"IDLE"
46,46,0,0,0,1,0,"IDLE"
47,47,0,0,0,1,0,"IDLE"
48,48,0,0,0,1,0,"IDLE"
49,49,0,0,0,1,0,"IDLE"
50,50,0,0,0,1,0,"IDLE"
51,51,0,0,0,1,0,"IDLE"
52,52,0,0,0,1,0,"IDLE"
53,53,0,0,0,1,0,"IDLE"
54,54,0,0,0,1,0,"IDLE"
55,55,0,0,0,1,0,"IDLE"
56,56,0,0,0,1,0,"IDLE"
57,57,0,0,0,1,0,"IDLE"
58,58,0,0,0,1,0,"IDLE"
59,59,0,0,0,1,0,"IDLE"
60,60,0,0,0,1,0,"IDLE"
61,61,0,0,0,1,0,"IDLE"
62,62,0,0,0,1,0,"IDLE"
63,63,0,0,0,1,0,"IDLE"
64,64,0,0,0,1,0,"IDLE"
65,65,0,0,0,1,0,"IDLE"
66,66,0,0,0,1,0,"IDLE"
67,67,0,0,0,1,0,"IDLE"
68,68,0,0,0,1,0,"IDLE"
69,69,0,0,0,1,0,"IDLE"
70,70,0,0,0,1,0,"IDLE"
71,71,0,0,0,1,0,"IDLE"
72,72,0,0,0,1,0,"IDLE"
73,73,0,0,0,1,0,"IDLE"
74,74,0,0,0,1,0,"IDLE"
75,75,0,0,0,1,0,"IDLE"
76,76,0,0,0,1,0,"IDLE"
77,77,0,0,0,1,0,"IDLE"
78,78,0,0,0,1,0,"IDLE"
79,79,0,0,0,1,0,"IDLE"
80,80,0,0,0,1,0,"IDLE"
81,81,0,0,0,1,0,"IDLE"
82,82,0,0,0,1,0,"IDLE"
83,83,0,0,0,1,0,"IDLE"
84,84,0,0,0,1,0,"IDLE"
85,85,0,0,0,1,0,"IDLE"
86,86,0,0,0,1,0,"IDLE"
87,87,0,0,0,1,0,"IDLE"
88,88,0,0,0,1,0,"IDLE"
89,89,0,0,0,1,0,"IDLE"
90,90,0,0,0,1,0,"IDLE"
91,91,0,0,0,1,0,"IDLE"
92,92,0,0,0,1,0,"IDLE"
93,93,0,0,0,1,0,"IDLE"
94,94,0,0,0,1,0,"IDLE"
95,95,0,0,0,1,0,"IDLE"
96,96,0,0,0,1,0,"IDLE"
97,97,0,0,0,1,0,"IDLE"
98,98,0,0,0,1,0,"IDLE"
99,99,0,0,0,1,0,"IDLE"
