Sample in Buffer,Sample in Window,TRIGGER,u0/wb_dbus_adr[31:0],u0/wb_dbus_cyc,u0/wb_dbus_dat[31:0],u0/wb_dbus_we,u0/wb_dbus_rdt[31:0],u0/o_probuf_0[31:0],u0/o_probuf_1[31:0],u0/o_probuf_2[31:0],u0/o_exe_req,u0/o_autoexec[2:0],u0/o_autoexec_wr,u0/wb_dbus_ack
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,fffff880,0,f4000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
1,1,0,fffff880,0,fa000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
2,2,0,fffff880,0,fd000000,0,00000000,88002483,0004a483,00100073,0,0,0,0
3,3,0,fffff880,0,fe800000,0,00000000,88002483,0004a483,00100073,0,0,0,0
4,4,0,fffff880,0,ff400000,0,00000000,88002483,0004a483,00100073,0,0,0,0
5,5,0,fffff880,0,ffa00000,0,00000000,88002483,0004a483,00100073,0,0,0,0
6,6,0,fffff880,0,ffd00000,0,00000000,88002483,0004a483,00100073,0,0,0,0
7,7,0,fffff880,0,ffe80000,0,00000000,88002483,0004a483,00100073,0,0,0,0
8,8,0,fffff880,0,fff40000,0,00000000,88002483,0004a483,00100073,0,0,0,0
9,9,0,fffff880,0,fffa0000,0,00000000,88002483,0004a483,00100073,0,0,0,0
10,10,0,fffff880,0,fffd0000,0,00000000,88002483,0004a483,00100073,0,0,0,0
11,11,0,fffff880,0,fffe8000,0,00000000,88002483,0004a483,00100073,0,0,0,0
12,12,0,fffff880,0,ffff4000,0,00000000,88002483,0004a483,00100073,0,0,0,0
13,13,0,fffff880,0,ffffa000,0,00000000,88002483,0004a483,00100073,0,0,0,0
14,14,0,fffff880,0,ffffd000,0,00000000,88002483,0004a483,00100073,0,0,0,0
15,15,0,fffff880,0,ffffe800,0,00000000,88002483,0004a483,00100073,0,0,0,0
16,16,0,fffff880,0,fffff400,0,00000000,88002483,0004a483,00100073,0,0,0,0
17,17,0,fffff880,0,fffffa00,0,00000000,88002483,0004a483,00100073,0,0,0,0
18,18,0,fffff880,0,fffffd00,0,00000000,88002483,0004a483,00100073,0,0,0,0
19,19,0,fffff880,0,fffffe80,0,00000000,88002483,0004a483,00100073,0,0,0,0
20,20,0,fffff880,0,ffffff40,0,00000000,88002483,0004a483,00100073,0,0,0,0
21,21,0,fffff880,0,ffffffa0,0,00000000,88002483,0004a483,00100073,0,0,0,0
22,22,0,fffff880,0,ffffffd0,0,00000000,88002483,0004a483,00100073,0,0,0,0
23,23,0,fffff880,0,ffffffe8,0,00000000,88002483,0004a483,00100073,0,0,0,0
24,24,0,fffff880,0,fffffff4,0,00000000,88002483,0004a483,00100073,0,0,0,0
25,25,0,fffff880,0,fffffffa,0,00000000,88002483,0004a483,00100073,0,0,0,0
26,26,0,fffff880,0,fffffffd,0,00000000,88002483,0004a483,00100073,0,0,0,0
27,27,0,fffff880,0,fffffffe,0,00000000,88002483,0004a483,00100073,0,0,0,0
28,28,0,fffff880,0,ffffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
29,29,0,fffff880,0,ffffffff,0,0004a483,88002483,0004a483,00100073,0,0,0,0
30,30,0,fffff880,0,ffffffff,0,0004a483,88002483,0004a483,00100073,0,0,0,0
31,31,0,fffff880,0,ffffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
32,32,0,fffff880,0,ffffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
33,33,0,7ffffc40,0,7fffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
34,34,0,3ffffe20,0,3fffffff,0,00040001,88002483,0004a483,00100073,0,0,0,0
35,35,0,1fffff10,0,1fffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
36,36,0,0fffff88,0,0fffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
37,37,0,07ffffc4,0,07ffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
38,38,0,03ffffe0,0,03ffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
39,39,0,01fffff0,0,01ffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
40,40,0,00fffff8,0,00ffffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
41,41,0,007ffffc,0,007fffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
42,42,0,003ffffc,0,003fffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
43,43,0,001ffffc,0,001fffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
44,44,0,000ffffc,0,000fffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
45,45,0,0007fffc,0,0007ffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
46,46,0,0003fffc,0,0003ffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
47,47,0,0001fffc,0,0001ffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
48,48,0,0000fffc,0,0000ffff,0,00000000,88002483,0004a483,00100073,0,0,0,0
49,49,0,00007ffc,0,00007fff,0,00000000,88002483,0004a483,00100073,0,0,0,0
50,50,0,00003ffc,0,00003fff,0,00000000,88002483,0004a483,00100073,0,0,0,0
51,51,0,00001ffc,0,00001fff,0,00000000,88002483,0004a483,00100073,0,0,0,0
52,52,0,00000ffc,0,00000fff,0,00000000,88002483,0004a483,00100073,0,0,0,0
53,53,0,000007fc,0,000007ff,0,00000000,88002483,0004a483,00100073,0,0,0,0
54,54,0,000003fc,0,000003ff,0,00000000,88002483,0004a483,00100073,0,0,0,0
55,55,0,000001fc,0,000001ff,0,00000000,88002483,0004a483,00100073,0,0,0,0
56,56,0,000000fc,0,000000ff,0,00000000,88002483,0004a483,00100073,0,0,0,0
57,57,0,0000007c,0,0000007f,0,00000000,88002483,0004a483,00100073,0,0,0,0
58,58,0,0000003c,0,0000003f,0,00000000,88002483,0004a483,00100073,0,0,0,0
